"Tempo","Watt"
"44376.58064959","3.10"
"44376.58134404","3.20"
"44376.58203848","3.20"
"44376.58273293","3.70"
"44376.58342737","3.70"
"44376.58412182","3.80"
"44376.58481626","3.80"
"44376.58551071","3.80"
"44376.58620515","3.80"
"44376.58689959","3.80"
"44376.58759404","3.80"
"44376.58828848","3.80"
"44376.58898293","3.70"
"44376.58967737","3.80"
"44376.59037182","3.80"
"44376.59106626","3.80"
"44376.59176071","3.80"
"44376.59245515","3.80"
"44376.59314959","3.80"
"44376.59384404","3.80"
"44376.59453848","3.80"
"44376.59523293","3.80"
"44376.59592737","3.80"
"44376.59662182","3.80"
"44376.59731626","3.80"
"44376.59801071","3.80"
"44376.59870515","3.80"
"44376.59939959","3.80"
"44376.60009404","3.80"
"44376.60078848","3.80"
"44376.60148293","3.80"
"44376.60217737","3.80"
"44376.60287182","3.80"
"44376.60356626","3.80"
