"Tempo","Watt"
"44376.59106626","3.20"
"44376.59176071","3.10"
"44376.59245515","3.30"
"44376.59314959","4.80"
"44376.59384404","4.00"
"44376.59453848","3.90"
"44376.59523293","3.90"
"44376.59592737","3.80"
"44376.59662182","3.90"
"44376.59731626","3.90"
"44376.59801071","3.90"
"44376.59870515","3.90"
"44376.59939959","3.90"
"44376.60009404","3.90"
"44376.60078848","3.80"
"44376.60148293","3.80"
"44376.60217737","3.80"
"44376.60287182","3.90"
"44376.60356626","3.90"
"44376.60426071","3.90"
"44376.60495515","4.00"
"44376.60564959","4.00"
"44376.60634404","3.90"
"44376.60703848","3.90"
"44376.60773293","3.80"
"44376.60842737","3.80"
"44376.60912182","3.90"
"44376.60981626","3.80"
"44376.61051071","3.80"
"44376.61120515","3.90"
"44376.61189959","4.00"
"44376.61259404","3.90"
"44376.61328848","4.00"
"44376.61398293","3.90"
